original_name,original_ street,original_ city,original_ country,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Sigmund Freud Museum," Berggasse 19"," 1090 Wien"," Austria",48.218581,16.363021,"Berggasse 19, 1090 Vienna, Austria",,19,Berggasse,1090,Wien,inner city,Vienna,Vienna,Austria,at,0.25,0.5,0.25,© OpenAddresses contributors,BSD-3-Clause License,
Der Wiener Deewan," Liechtensteinstraße 10"," 1090 Wien"," Austria",48.217035,16.362727,"Liechtensteinstraße 10, 1090 Vienna, Austria",,10,Liechtensteinstraße,1090,Wien,inner city,Vienna,Vienna,Austria,at,0.25,0.5,0.25,© OpenAddresses contributors,BSD-3-Clause License,
Viktor Adler Markt," Viktor-Adler-Markt"," 1100 Wien"," Austria",48.20269,16.381556,"Wien, Vienna, Austria",,,,,,,Wien,Vienna,Austria,at,0.25,0.5,,,,https://www.whosonfirst.org/docs/licenses/
Red Vienna at the Waschsalon," Heiligenstädter Str. 82/92"," 1190 Wien"," Austria",48.254564,16.36588,"Heiligenstädter Straße 92/95, 1190 Vienna, Austria",,92/95,Heiligenstädter Straße,1190,Wien,Nuszdorf,Vienna,Vienna,Austria,at,0.19845,0.5,0.19845,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rondell Café am Cobenzl," Am Cobenzl 94"," 1190 Wien"," Austria",48.2633792,16.320569616994202,"Schloss Cobenzl, Am Cobenzl 94, 1190 Vienna, Austria",Schloss Cobenzl,94,Am Cobenzl,1190,Döbling,KG Grinzing,Vienna,,Austria,at,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
